run,tag,step,value
tcn_100_16_0.001_20230606_023539,Learning Rate,0,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,1,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,2,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,3,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,4,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,5,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,6,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,7,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,8,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,9,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,10,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,11,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,12,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,13,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,14,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,15,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,16,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,17,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,18,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,19,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,20,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,21,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,22,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,23,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,24,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,25,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,26,0.0010000000474974513
tcn_100_16_0.001_20230606_023539,Learning Rate,27,0.0010000000474974513
