run,tag,step,value
tcn_100_16_0.001_20230606_023539/1686016553.5737104,training/esr,0,4944.37109375
tcn_100_16_0.001_20230606_023539/1686016553.5737104,validation/esr,0,640.8888549804688
tcn_25_16_0.001_20230605_184451/1685984697.7333627,training/esr,0,2.622915506362915
tcn_25_16_0.001_20230605_184451/1685984697.7333627,validation/esr,0,2.6431493759155273
tcn_50_16_0.001_20230605_190459/1685987102.9423397,training/esr,0,137.62953186035156
tcn_50_16_0.001_20230605_190459/1685987102.9423397,validation/esr,0,3.009155035018921
