Sample Index,dry_DC,wet_DC,SNR
0,-1.0155597465200117e-06,-2.616401070554275e-05,-0.6407672166824341
1,-1.4622719390899874e-07,4.3676340055753826e-07,1.2672829627990723
2,-1.7428398280117108e-07,-5.081770950710052e-07,-0.23048923909664154
3,1.6625132559511258e-07,-2.0908447595502366e-07,-0.8500155806541443
4,-2.6631391847331543e-06,1.721413354971446e-06,-2.3465564250946045
5,-1.1834502089413945e-07,-1.2526032833193312e-06,-1.917418122291565
6,-1.4096945051278453e-06,6.154123752821761e-07,0.12338709831237793
7,1.821070867435992e-07,8.795689865337408e-08,-0.6088722348213196
8,-6.262808938117814e-07,-1.982785704512935e-07,-0.5741538405418396
9,-7.719932909822091e-06,-1.8599164377519628e-06,-1.5063608884811401
10,-7.191072199930204e-07,-0.0013821155298501253,5.614228248596191
11,6.967932222323725e-07,2.617284167172329e-07,-1.6903537511825562
12,2.792021120967547e-07,-7.862877282605041e-07,-2.9019694328308105
13,-6.2591720961791e-07,5.462609351525316e-07,1.4684791564941406
14,-9.90556236502016e-06,-9.157690783467842e-07,-1.9861901998519897
15,-6.419567171178642e-07,2.497812943147437e-07,-1.5005216598510742
16,-3.58879947270907e-06,1.727138510432269e-06,-0.6831411123275757
17,4.364564119896386e-06,-5.605443220702e-07,-2.1729557514190674
18,-8.171424070724242e-08,1.5472623715595546e-07,-1.32392156124115
19,-3.5437140013527824e-06,-4.964665095030796e-06,-1.4435189962387085
20,-1.0906306897595641e-06,5.882426421521814e-07,0.41194266080856323
21,1.702968006611627e-06,6.777634666832455e-07,-0.8343797922134399
22,-5.061347110313363e-07,-3.161789265959669e-07,-0.159092515707016
23,-4.315756996220443e-06,0.0003335185756441206,3.1557228565216064
24,-3.364529447935638e-06,1.7555081512909965e-06,-2.2361536026000977
25,-1.5432779036927968e-06,-1.181885636469815e-06,0.24461382627487183
26,-2.352679189243645e-07,-6.105459959826476e-08,-1.5030345916748047
27,5.409167442849139e-06,5.163894911675015e-07,-2.444596529006958
28,-9.065866493074282e-07,-2.7422328230386483e-07,-1.8518704175949097
29,6.34323077974841e-06,4.2144151279899233e-07,-0.389647513628006
30,-2.6365114536019973e-07,-5.871864345863287e-07,-1.5647631883621216
31,1.288331077375915e-07,-5.379217782319756e-07,-3.7166123390197754
32,-5.816356178911519e-07,0.0001138044535764493,-3.060072422027588
33,-1.6213655271712923e-06,-1.739496298114318e-07,1.425067663192749
34,-2.071796416203142e-06,-1.322590105701238e-05,-1.5209518671035767
35,3.907974587491481e-06,-4.340334669450385e-07,0.720062255859375
36,-1.3400074294622755e-06,-5.263183311399189e-07,-1.7834638357162476
37,-3.8085263440734707e-06,3.89038905268535e-05,5.995820999145508
38,-3.808288511208957e-06,5.6297402295513166e-08,-2.4421026706695557
39,5.766777348981122e-07,1.801424076575131e-07,-1.446336269378662
40,2.166191137575879e-07,1.0063941999760573e-06,-2.1539530754089355
41,2.728105073401821e-06,8.611249313617009e-07,-2.817385673522949
42,2.893245891755214e-06,-1.1293452928384795e-07,-2.484321117401123
43,-5.323058758222032e-06,-7.190555493252759e-07,-1.1007728576660156
44,-1.176955606752017e-06,-1.2083165756848757e-07,-1.862056016921997
45,2.2992626327322796e-06,1.5982440118023078e-06,-1.4553369283676147
46,-1.6321644125127932e-06,1.0217177077720407e-06,-3.896483898162842
47,-2.302189386682585e-06,-3.450978454111464e-07,1.95638906955719
48,2.8120308570578345e-07,-1.2793759651685832e-06,-1.4764132499694824
49,-1.8198425095761195e-06,-1.087493757268021e-07,5.785055637359619
50,8.726269129510911e-07,-2.0486861274093826e-07,-3.255506992340088
51,-4.118973265576642e-06,2.523970294987521e-07,-2.3820576667785645
52,-2.4541132006561384e-06,3.42483758686285e-07,-1.4984394311904907
53,-3.540773377608275e-06,3.3830431789283466e-07,-3.871553897857666
54,-8.792942196578224e-08,-7.710483487244346e-07,-0.006147866137325764
55,8.208342023863224e-07,8.107460871542571e-07,0.04021912068128586
56,-4.413030012528907e-07,-8.360416359209921e-07,-1.2861361503601074
57,-2.7787032763626485e-07,0.0013994378969073296,-3.0981361865997314
58,-1.3760515003014007e-06,4.199542900096276e-07,-1.0332177877426147
