train_step,epoch,step,val_loss,val_loss_ESR,val_loss_DC,train_epoch_mean
10.705339431762695,0,0,,,,
21.75635528564453,0,1,,,,
9.162912368774414,0,2,,,,
2.6977920532226562,0,3,,,,
2.0780129432678223,0,4,,,,
0.9813570380210876,0,5,,,,
4.0817952156066895,0,6,,,,
0.8149821162223816,0,7,,,,
2.7497055530548096,0,8,,,,
3.516416549682617,0,9,,,,
2.0825202465057373,0,10,,,,
1.100631594657898,0,11,,,,
1.343646764755249,0,12,,,,
1.0345970392227173,0,13,,,,
,0,13,5.714719295501709,1.9383643865585327,0.6704604029655457,
,0,13,,,,4.579004764556885
1.549028992652893,1,14,,,,
2.703432559967041,1,15,,,,
1.6298596858978271,1,16,,,,
1.1663545370101929,1,17,,,,
1.0268285274505615,1,18,,,,
0.8991755247116089,1,19,,,,
1.0529427528381348,1,20,,,,
0.860653817653656,1,21,,,,
1.8887763023376465,1,22,,,,
2.1742069721221924,1,23,,,,
1.666136384010315,1,24,,,,
1.219101905822754,1,25,,,,
1.0539494752883911,1,26,,,,
0.9342449903488159,1,27,,,,
,1,27,5.652674198150635,2.453692674636841,0.14138799905776978,
,1,27,,,,1.4160493612289429
1.0185245275497437,2,28,,,,
1.3601301908493042,2,29,,,,
1.0375193357467651,2,30,,,,
1.0823928117752075,2,31,,,,
0.9870229959487915,2,32,,,,
0.9827677011489868,2,33,,,,
1.0139714479446411,2,34,,,,
0.9521409273147583,2,35,,,,
1.2828840017318726,2,36,,,,
1.5053250789642334,2,37,,,,
1.1284477710723877,2,38,,,,
1.0841363668441772,2,39,,,,
1.005671501159668,2,40,,,,
0.8996273279190063,2,41,,,,
,2,41,6.286196708679199,2.9076876640319824,0.0013989177532494068,
,2,41,,,,1.0957543849945068
0.9093467593193054,3,42,,,,
1.532637596130371,3,43,,,,
0.8215475082397461,3,44,,,,
0.9952030181884766,3,45,,,,
0.9260007739067078,3,46,,,,
0.9576026201248169,3,47,,,,
1.0466270446777344,3,48,,,,
0.968806803226471,3,49,,,,
1.1373032331466675,3,50,,,,
1.2649179697036743,3,51,,,,
0.930406928062439,3,52,,,,
1.0690827369689941,3,53,,,,
0.888722836971283,3,54,,,,
0.9036903381347656,3,55,,,,
,3,55,5.197417259216309,1.4414129257202148,0.00044574253843165934,
,3,55,,,,1.0251353979110718
0.9204836487770081,4,56,,,,
1.3437029123306274,4,57,,,,
0.737045407295227,4,58,,,,
0.9755380749702454,4,59,,,,
0.9319717884063721,4,60,,,,
0.9288564920425415,4,61,,,,
0.8007373213768005,4,62,,,,
0.9353108406066895,4,63,,,,
1.2016726732254028,4,64,,,,
1.231438159942627,4,65,,,,
0.9883740544319153,4,66,,,,
1.0503277778625488,4,67,,,,
0.8818384408950806,4,68,,,,
0.9117334485054016,4,69,,,,
,4,69,4.9547319412231445,1.0114151239395142,0.02673247829079628,
,4,69,,,,0.9885022044181824
0.9133565425872803,5,70,,,,
1.1706982851028442,5,71,,,,
0.7559308409690857,5,72,,,,
0.9824504852294922,5,73,,,,
0.9282971024513245,5,74,,,,
0.9359718561172485,5,75,,,,
0.7979215383529663,5,76,,,,
0.9265598058700562,5,77,,,,
1.2234008312225342,5,78,,,,
1.1631466150283813,5,79,,,,
1.003360629081726,5,80,,,,
1.056602954864502,5,81,,,,
0.8779392838478088,5,82,,,,
0.9120493531227112,5,83,,,,
,5,83,4.806736946105957,0.959219753742218,0.02470722794532776,
,5,83,,,,0.9748347401618958
0.9304332137107849,6,84,,,,
1.0827842950820923,6,85,,,,
0.7539455890655518,6,86,,,,
0.9762445092201233,6,87,,,,
0.92623370885849,6,88,,,,
0.9232412576675415,6,89,,,,
0.7456145286560059,6,90,,,,
0.917461633682251,6,91,,,,
1.24239182472229,6,92,,,,
1.1065326929092407,6,93,,,,
1.002952218055725,6,94,,,,
1.0458778142929077,6,95,,,,
0.8890835642814636,6,96,,,,
0.9275080561637878,6,97,,,,
,6,97,4.776836395263672,0.9255940914154053,0.006878340616822243,
,6,97,,,,0.962164580821991
0.9318110346794128,7,98,,,,
1.0443756580352783,7,99,,,,
0.7823580503463745,7,100,,,,
0.9724103808403015,7,101,,,,
0.9225738644599915,7,102,,,,
0.9045457243919373,7,103,,,,
0.7066344618797302,7,104,,,,
0.9081708788871765,7,105,,,,
1.264957070350647,7,106,,,,
1.0864249467849731,7,107,,,,
0.9839353561401367,7,108,,,,
1.0447938442230225,7,109,,,,
0.9183206558227539,7,110,,,,
0.9450070261955261,7,111,,,,
