Index,dry_DC,wet_DC,SNR
0,6.358604753842201e-10,1.5066471403812898e-09,-1.1393146514892578
1,8.125789624502389e-11,4.925532204325123e-10,-2.837543487548828
2,5.960464760645934e-11,-1.19209286886246e-09,-1.1446819305419922
3,2.800952525472411e-10,-1.866719695486907e-10,-0.9403735399246216
4,-1.2498349022393995e-09,7.288763481660965e-10,-2.431499481201172
5,9.601935913039483e-10,-7.026828563461152e-10,-1.3178884983062744
6,1.2550736006033958e-09,-1.8816790348097356e-09,-0.5313659310340881
7,2.738088367149061e-10,4.587345781015273e-10,0.19980968534946442
8,-1.536682239788867e-11,7.200287588382537e-10,-2.0132713317871094
9,-6.854534162492598e-10,-1.1418014311814773e-09,-6.037685871124268
10,-1.8009450597489263e-09,1.6530975199824383e-10,-2.846341609954834
11,1.4901161415892261e-09,-2.059852732827494e-09,0.4398048222064972
12,2.4260954356591924e-10,-1.8562422710033388e-09,0.2365533709526062
13,-6.859190992969388e-10,1.6479753117693008e-09,5.31275749206543
14,-4.204921411066209e-10,2.5939079772996365e-09,-1.1339590549468994
15,2.0363368768983037e-09,4.346948079270163e-10,3.1842281818389893
16,-1.2993114362203073e-09,-1.2920936542926142e-09,0.7334680557250977
17,-1.4929101288529978e-09,-2.466840731685238e-09,1.320760726928711
18,-1.2905803092877477e-09,9.065552197817794e-10,1.4205576181411743
19,-1.552514783398351e-09,-1.4026881878237418e-09,-0.6231851577758789
20,-3.887806077074174e-09,6.080604908476062e-09,0.13973550498485565
21,2.3026951456728284e-09,5.9278679742647e-09,2.2056422233581543
22,-6.894115278655022e-10,-2.0153820834423186e-09,-1.5483460426330566
23,-4.3027104101867053e-10,-8.590286815213233e-10,2.475848436355591
24,2.1522865711887107e-09,1.9330763656455474e-09,1.4684754610061646
25,1.6409903436098716e-09,2.1092128044131186e-09,3.4200005531311035
26,-3.799796033376879e-10,-5.544861791939582e-10,0.9822121858596802
27,2.074055371892314e-09,4.87908247137625e-09,1.7881553173065186
28,3.073364618355612e-10,9.201466810715431e-10,-3.028104543685913
29,-1.531559989942366e-09,-4.726461999560172e-10,0.8311372995376587
30,1.0961667129549824e-09,1.9478612056644806e-09,0.03759562969207764
31,1.639127722441458e-10,8.698552989017116e-10,-1.7007321119308472
32,1.2032688179175466e-09,-3.132503589853286e-09,-2.353416919708252
33,-1.7713754907333623e-09,6.451736922485907e-10,6.872478008270264
34,1.6298144778215118e-10,6.528571017128115e-10,-0.9420916438102722
35,-7.343478602983566e-10,8.313916666224941e-09,-2.156599521636963
36,4.3702311214310896e-10,-6.346963510317494e-10,1.2743825912475586
37,-1.091510104522797e-09,1.2562377804670177e-09,0.7230547666549683
38,-1.4156102678963833e-10,2.1409942707606433e-09,3.0337724685668945
39,-1.1245720327179853e-10,5.590962359747209e-09,-1.956070899963379
40,-1.4454126784357868e-09,3.4626572720242166e-09,2.761486053466797
41,2.6682392406662814e-10,-3.9059666612217825e-09,-1.827749490737915
42,1.0943039807642663e-09,-2.6984490197889954e-09,-0.612202525138855
43,-1.0859221299952537e-09,-7.45290884562877e-10,2.104736804962158
44,9.816140122964612e-10,-1.0910443659639668e-09,-0.7569308280944824
45,6.812624908647535e-10,-4.0861777850231817e-10,3.174149513244629
46,-1.0803341554677104e-09,-3.640307222330108e-10,-3.3996102809906006
47,1.9930303241100233e-10,9.667128209045472e-10,-3.565796375274658
48,-2.159737055862365e-09,-4.806788744815549e-09,-1.392903447151184
49,-7.366761645144493e-10,-8.186907263230125e-10,-0.8378596305847168
50,9.026844272064238e-10,3.969762296662793e-09,-1.789278268814087
51,5.508772882301116e-10,2.811429977711555e-10,-2.580183506011963
52,1.8253921985067478e-10,1.3865064651952252e-09,0.7139998078346252
53,-1.164618845805876e-09,1.6349367415458005e-09,-2.2016801834106445
54,-3.2130628019322316e-11,-1.0039656883620296e-09,-2.501347541809082
55,-7.611233865389977e-10,2.4158508526994638e-09,-1.6634550094604492
56,2.365559415018481e-10,-2.786517239172781e-09,-0.08937344700098038
57,1.7695128695649487e-10,2.341344895739894e-09,0.7375900745391846
58,-1.4267861336847432e-09,-1.0486692625377714e-09,3.2685470581054688
59,5.215406578829018e-11,7.733760853945171e-10,1.0589373111724854
60,3.892928479576341e-10,-9.633367437089646e-10,-3.707078695297241
61,-1.0803341554677104e-10,-7.688067960032186e-10,3.4931015968322754
62,3.6507843970134957e-10,-9.192153704873363e-10,3.1785316467285156
63,-6.742775227053244e-10,7.64615815107561e-10,-4.246947288513184
64,-1.1641532356165829e-11,1.926790060835515e-09,-1.10513174533844
65,-7.133930668423716e-10,-1.8236459564668905e-10,-3.0491995811462402
66,9.313225884932663e-11,2.980232380322967e-11,-2.950244188308716
67,1.3411045607369942e-09,5.587935669737476e-10,-5.13728666305542
68,1.3862736514269614e-09,1.7638085436644246e-09,-3.4868695735931396
69,1.6274861458498435e-09,1.2231757828828904e-09,-3.6991615295410156
70,7.329508666664708e-10,-7.225898768226102e-10,-4.108131408691406
71,8.549541075097977e-10,-1.5393597507795675e-09,1.7746394872665405
72,2.2705644031617567e-09,-1.0541407746700315e-09,0.7693091034889221
73,1.416541661747317e-09,-1.1852826498071067e-09,0.9764426350593567
74,-1.6763807009212428e-10,8.375500293311688e-10,-1.8335212469100952
75,4.3073669631077394e-11,-3.3632385765258732e-09,-3.3852241039276123
76,-6.831251120331672e-10,-1.1455267984183948e-10,-5.114727020263672
77,-2.1909363212557764e-10,1.8868595574872415e-09,-3.0398080348968506
78,-4.379544504828914e-10,2.5987392238135953e-09,1.3496897220611572
79,1.0887161172590254e-09,2.0999577632352384e-09,-0.6090664267539978
80,1.232139723583714e-09,-1.4274846860118373e-09,1.3291407823562622
81,1.089414558563817e-09,1.1660158394377618e-09,2.0692503452301025
82,-1.0672956962665126e-09,5.489564358640564e-09,-1.5647647380828857
83,-3.508292101273014e-09,3.5489211569483814e-09,0.7200499773025513
84,-5.620531817740471e-10,1.1746305317306138e-10,-1.903359293937683
85,8.009374413697756e-11,1.1748634287656046e-09,0.6859720945358276
86,-3.222375977163239e-10,-1.2884847633287677e-09,-1.85186767578125
87,-2.852175440271054e-10,-1.9562431674557956e-09,-2.9332635402679443
88,-4.293397026788881e-10,2.2000168353741856e-09,-1.490958333015442
89,-1.4742835841019541e-09,3.088614919377619e-09,-4.072567939758301
90,4.821922860998029e-10,8.239876558846504e-10,0.13136181235313416
91,-1.4596153175006066e-09,1.0977965064773443e-10,2.8249552249908447
92,1.8253921985067478e-10,1.7592683976275225e-09,-0.3234850764274597
93,3.7252903539730653e-10,5.388166801623129e-09,3.441340923309326
94,-1.35507438603355e-10,-1.5120021901182668e-09,-0.5858829617500305
95,6.9092492838152e-10,1.04424546787385e-09,-1.9112337827682495
96,6.09550632191258e-10,4.5762862943554694e-10,3.1131114959716797
97,5.41098388318062e-10,-6.640912264543886e-10,1.3934528827667236
98,6.37024655247842e-10,-2.1816230766358302e-10,-2.726625442504883
99,9.455252136802983e-10,1.0921503701410984e-09,0.7130298614501953
100,1.1429656110450992e-09,-2.5419284455097113e-09,-2.7757363319396973
101,6.817281184012813e-10,3.429595496484694e-10,-1.7090661525726318
102,-1.0235234881861288e-09,-3.415625560165836e-09,1.4736884832382202
103,-1.583248462888598e-11,6.1643659066135115e-09,-2.0283000469207764
104,-1.0926741733641165e-09,1.3716052738033113e-09,-3.313852310180664
105,5.110632750326971e-11,-6.243353611878888e-10,-2.442131280899048
106,-1.3243407481766667e-09,-5.438923755818337e-10,-2.5234577655792236
107,-5.066395081243513e-10,3.033783224637432e-10,3.268792152404785
108,6.16535544839536e-10,-2.5599727893066415e-10,0.5025121569633484
109,3.1320377402721533e-09,-7.392372824988058e-10,1.0067107677459717
110,-8.074566570925867e-10,-2.755201400361784e-09,-1.936402440071106
111,-1.8806312063190944e-09,-5.455221829819834e-10,-1.6791861057281494
112,1.109437985924444e-09,2.0046717619237597e-09,-0.9324610829353333
113,-3.003515144928137e-11,1.8467544160571947e-09,-3.7141385078430176
114,-3.6507843970134957e-10,-1.9553698660246255e-09,-1.5063406229019165
115,4.0652231581006504e-10,1.6184058537760393e-09,-2.3556137084960938
116,4.6566129424663316e-11,9.451177618302609e-10,-1.2725125551223755
117,-6.891787140972383e-10,2.263113862976951e-10,2.2673628330230713
118,5.22006327052793e-10,2.0395964084318763e-10,0.22282065451145172
119,-2.328306384496992e-12,-3.0761002633994394e-09,0.0792447105050087
120,-7.227063392178934e-10,-7.939524732103465e-11,-0.4844491183757782
121,-1.8402933621430861e-09,2.297456447308832e-09,2.7192962169647217
122,-1.7518178019315656e-09,1.4663673608694694e-09,-1.64934504032135
123,-2.816086530632589e-10,5.2768736047426046e-09,-1.7302238941192627
124,-1.303851610012785e-10,3.227032807640029e-10,-2.6133813858032227
125,1.654028913833372e-09,1.1625234108691984e-09,-0.9676355123519897
126,-4.1676684325864244e-10,-1.80449566400398e-09,-3.311486005783081
127,3.650551638756383e-09,1.0763178126538264e-09,-4.3001790046691895
128,8.381902949494702e-10,-2.1988526555105636e-09,2.1804752349853516
129,-1.4444813123404288e-09,1.3157259726170878e-09,0.4350118041038513
130,5.131587377249502e-10,-4.954519461364271e-09,2.683562994003296
131,-6.016344089587733e-10,4.793982988360312e-10,-0.1591786891222
132,-7.906928445322592e-10,1.5460537294842425e-09,-0.03392186388373375
133,-2.2444873737370585e-10,-2.2673047883614572e-09,-1.7827966213226318
134,1.957640050065379e-09,-3.3451943992623967e-10,2.001864433288574
135,-2.31899319191875e-10,2.2919848241542695e-09,-3.793628454208374
136,-8.493661884934056e-10,-1.200474830653775e-09,-1.3890886306762695
137,7.413327729466346e-10,1.1478550748789118e-10,-1.2532331943511963
138,-2.7241184308302024e-10,-4.691537713874538e-10,2.908503532409668
139,-9.825452951250924e-11,2.1420419604734064e-10,-1.276614785194397
140,-2.142041925778937e-11,-4.213070448066958e-10,-0.6629756689071655
141,-1.3299286116819076e-09,8.717179200701253e-10,-1.9419336318969727
142,1.205597066622488e-09,1.9833823472481527e-09,1.0015342235565186
143,-3.2838434194104593e-09,2.6135238417879236e-10,-3.2233192920684814
144,5.727633992091974e-11,1.6369158251094973e-09,-2.838759660720825
145,-5.541369585415623e-10,-1.949083561214593e-09,1.056959867477417
146,-1.1827796519980893e-09,2.1123559845737105e-10,-1.4463376998901367
147,-1.2118835102103986e-10,-1.0881922030137048e-09,-0.4102880358695984
148,-8.463393874613701e-10,3.193970865567053e-09,-3.2134017944335938
149,3.0966476605165383e-10,1.180451403293148e-09,-2.123623847961426
150,-2.828892231576674e-09,-1.3196841397444814e-09,5.364912033081055
151,-1.1175870992530257e-11,-3.4279654670399395e-09,1.5590574741363525
152,-4.516914620111834e-10,-6.09084949143579e-10,0.01911555603146553
153,2.495944562141972e-10,3.608874865612677e-10,2.668003559112549
154,-6.509944805443979e-10,-7.068738372417727e-10,-1.6226392984390259
155,2.551823752305893e-10,-9.078066631751369e-10,2.3297502994537354
156,-1.4603137588053983e-09,2.624001460560521e-09,-1.440851092338562
157,-2.004206134387232e-09,3.509456281136636e-09,3.0020880699157715
158,-1.3573444590520012e-09,-5.571637040624466e-10,-2.436647891998291
159,-9.778886728151193e-11,-1.3858080238904336e-09,-2.7148380279541016
160,-2.0563601932366282e-09,-7.376074750986561e-10,-4.750101089477539
161,1.035630692314271e-09,4.9825758102750584e-11,0.2877594828605652
162,-1.396285420618426e-09,-2.3248138969478305e-09,-0.03246060758829117
163,-2.756714856388953e-10,9.000068468267841e-10,0.8363211750984192
164,3.8347205966182685e-10,-4.0626035868740473e-10,1.0031166076660156
165,-1.0430813157658037e-10,-1.154839973649402e-10,1.8502533435821533
166,1.5553086596398202e-10,-8.097849613086794e-10,-0.3777245283126831
167,-3.0617230972751486e-10,-7.79051323451796e-10,2.611238956451416
168,2.1012964701583314e-09,1.6868579866269329e-09,-4.416497230529785
169,6.975606203774021e-10,1.206062749670167e-10,-1.9174152612686157
170,-1.2852251207728926e-10,6.118789364073507e-10,0.10398605465888977
171,1.009320849121309e-09,1.166481577996592e-09,5.329834938049316
172,-1.3366807660730728e-09,6.231712368354181e-10,-3.73582124710083
173,1.592561638119605e-10,-1.3503013152060817e-09,0.9696071147918701
174,2.6822088994293836e-10,-1.1175870645585562e-10,-0.8512618541717529
175,-2.6635826877452473e-10,-1.2929085579926891e-09,-2.0358502864837646
176,-1.9371509951682242e-10,9.135110445868122e-10,-1.8457462787628174
177,-3.958120983749147e-11,3.525056080366795e-10,-1.479013204574585
178,-2.328306547127318e-13,1.9290018193895975e-10,-2.017388105392456
179,-5.776528144707527e-10,-7.899943477163163e-10,-3.144390821456909
180,-3.315508423362701e-10,1.3395911047098252e-09,-2.4920270442962646
181,-1.3643876306534963e-10,2.542685173523296e-09,1.842607021331787
182,-2.5900079858587333e-09,-8.123461348041872e-10,-0.42703938484191895
183,1.659151149802085e-09,-3.4954863448177775e-09,-2.2489981651306152
184,7.580965855069621e-10,-2.4575275148208675e-10,-3.740111827850342
185,2.6207416237156167e-09,-1.531327176174102e-09,-3.519604206085205
186,9.275972767675e-10,4.74159600472035e-09,3.792720317840576
187,-3.7206335790074263e-09,1.8613063312855616e-09,-4.276422023773193
188,-8.526258032937051e-10,-3.3661491372072305e-09,0.5434126257896423
189,-1.788139358804841e-10,1.478940303556442e-09,-4.147244453430176
190,8.083879676767936e-10,-9.890063212836253e-10,-3.051408529281616
191,-1.6763807009212428e-10,7.105991350897511e-10,-0.3384001553058624
192,-1.1856901016571442e-09,9.661307309727363e-10,-1.90818190574646
193,1.4740507703336903e-09,1.4241959833682927e-09,-2.940814971923828
194,2.2621824413704417e-09,1.0397052108146454e-09,-0.11457584798336029
195,-6.781192274374348e-10,9.66247151734656e-11,-2.047898530960083
196,4.6007334053577154e-10,-1.3876706728144228e-10,1.3601768016815186
197,2.4549662303030573e-09,8.435454001975984e-10,-2.0021114349365234
